Natural Number,Any positive whole number that is greater than or equal to 0.,
Asymmetric encryption,,"Two different but related keys are used. One to encrypt the other to decrypt. Sometimes know as public/private key encryption.
 E.g. when sending an encrypted email the message is encrypted using the recipient's public key.
 It is decrypted using the recipient's private key."
Digital certificates & signatures,,"A digital certificate is a file containing information about the owner of a website and the public half of an asymmetric key pair. A certification authority signs the certificate to confirm that the information in the certificate is correct.
 A digital signature is a way of verifying that an email or other document has been sent by the person claiming to send it and that the contents have not been altered. A message digest (or hash) of the document is produced from its content. This hash is encrypted using the sender's private key. This is the digital signature. It is decrypted using the sender's public key. Only the sender's public key will be able to decrypt it. The hash is regenerated from the received document and compared to the received hash. If they differ the document must has been altered."
Viruses worms and Trojans,,"A virus is a small program attached to another program or data file. It replicates itself by attaching itself to other programs. It will execute when the program it is attached to is running or the document it is attached to is opened. 
 A worm is a small program that exploits a network security weakness to replicate itself through computer networks. The worm usually performs malicious actions such as using up computer time drastically increasing network traffic and possibly shutting the system down. It may also attack computers and servers of the networks it moves through.
 A Trojan is a destructive program that masquerades as a benign application such as a utility or a game though they can also be distributed through e-mail attachments.
 Unlike viruses Trojan horses do not replicate themselves but they can be just as destructive.  
 One of the most insidious types of Trojan horse is a program that claims to rid your computer of viruses but instead introduces viruses onto your computer. One of the most common types of Trojan creates a backdoor to the attacked computer which gives the criminal access to it and any data held on it."
TCP/IP protocol stack,,"The TCP/IP protocol stack has four layers. Each layer has a different responsibility. Data is passed between the layers to enable communication. 
 The Application layer is the highest layer in that it is closest to the user. The role of the application layer is to interact with the user via the appropriate application software. It handles the details of the particular networking application and defines the kind of messages to send. It gives the application access to the network. It selects a different protocol depending on the application trying to access the network e.g. HTTP for web browsing. 
 The Transport Layer (TCP) enables applications running on the two hosts to establish a two-way connection and exchange application-layer messages through a reliable data channel. It establishes a connection between the two end-points and ensures a reliable flow of data between the end-points. It divides the data passed to it from the application layer into packets called TCP segments for the network layer below to handle. Each packet is given a sequence number so that the data can be reassembled by the transport layer at the destination. It adds a header to the packets containing the source and destination port numbers before passing the packets onto the Network layer. It deals with problems of connecting hosts. It monitors the connection for transmission errors and responds when an error is detected by retransmitting the appropriate packet. 
 When the packets are received by the destination host the transport layer acknowledges receipt of the packets. It strips off the port numbers from the packets and reassembles them in the correct order to reconstruct the message. It uses the port numbers to route the message to the correct application layer server or client. 
 The Network Layer (IP) adds a header to the packets which contains the source and destination IP addresses then hands the packets onto the link layer. The addition of an IP address to the port number forms a socket. It is responsible for specifying the routing of packets around the network. It is concerned with getting the packet to the correct location as passed on to it from the Transport Layer. It determines which host (e.g. router) to send the packet to next using the destination IP address. 
 The Network layer also receives packets from the link layer removes the source and destination IP addresses then passes the packets to the transport layer. 
 The Link Layer deals with the physical connections between the devices. It receives packets from the Network layer and adds the source and destination MAC (Media Access Control or hardware) addresses to these packets then despatches the packets onto the local cable. Initially the destination address is the gateway’s MAC address. The gateway is the host to which the sending host is directly connected and which is also connected to the Internet. At the gateway the source MAC address is changed to that of the gateway and the destination MAC address is changed to that of the next link in the path to the ultimate destination. This process is repeated as the packets are passed from device to device. The link layer moves the packets between the internet hosts."
FTP (Client/server),,File transfer protocol – an application layer protocol that enables files on one host to be copied onto another host.
HTTP,,Hypertext Transfer Protocol - used when accessing web pages.
HTTPs,,HyperText Transfer Protocol secure - used when accessing secure web pages e.g. when making a transaction such as a purchase.
POP3,,Protocol used to retrieve email.
SMTP,,Protocol used to send email.
SSH (secure shell),,Protocol used for encrypted communication between two computers on a TCP/IP network. Often used for remote-login and manganging netowrks remotely.
DHCP (Dynamic Host Configuration Protocol),,This protocol automatically assigns a dynamic IP address from a pool of available addresses to a computer attempting to operate on a network. When a client wishes to join a TCP/IP network it sends out a request to find a DHCP server. A DHCP server receiving such a request replies with an offer message which contains the proposed IP address for the client the network mask and other configuration details. The client machine accepts the offer by echoing the offer details back to the DHCP server.
NAT (Network Address Translation),,"Network Address Translation is used to convert private IP addresses into public IP addresses as they pass through the router to enable packets to be routed on the Internet.
 NAT is needed because the private IP addresses used on a LAN are non-routable and so cannot be used for routing on the Internet. Also the private IP addresses are not unique and so cannot be used by the host to return data."
Port forwarding,,Port forwarding is a product of NAT when a public computer is trying to communicate with a server operating within a private network. Since there is no direct connection to the server the NAT needs to forward all incoming requests to a particular IP address and port (e.g. web requests on port 80) to port 80 of the internal web server using a private address. Requests to access the internal server would be sent to the IP address of the external router which can be programmed to filter out packets destined for certain computers or applications.
Client-Server model,,E.g. a client machine running a web browser may request a web page or other web-based resource from a web server. The web browser uses HTTP to fetch web pages from a web server by sending a request message. The web server listens on port 80 for such requests. The web server uses HTTP to respond with a response message containing a web page or resource. The response message goes back to the web browser via the port that sent the request message.
API (Application programming interface),,An API separates the data from the operations that may act on the data. Applications that use a particular API do not know how the data is stored only how to access it via API calls.
Websocket,,"The Websocket specification defines an API which allows the creation of a persistent bi-directional communication channel through a single socket between a web browser and a server over TCP. The channel provides full duplex communication which means that data can be sent in both directions at the same time. Once the connection has been made both the client and the server can start sending data at any time.
 WebSocket packets are greatly reduced in size as they use a fraction of the usual header information. All packets sent via a WebSocket are automatically accepted at either end without the normal need for security checks. Keeping the connection open enables super-fast real time and interactive communication as used in multiplayer gaming and instant messaging."
CRUD and REST,,"The acronym CRUD is used to refer to the four basic database or content management operations (Create Retrieve Update and Delete). The commands corresponding to these operations in SQL are INSERT SELECT UPDATE and DELETE. INSERT adds new records SEL ECT retrieves or selects existing records based on selection conditions UPDATE modifies existing records and DELETE removes tables or records. 
 REST is a style of systems design that prescribes the use of HTTP request methods to interact with online databases via a web server. The application data can be queried and changed using HTTP methods and URLs. The client computer requires no knowledge of how the server is likely to fulfil the request how the data or resource is stored or from where it will gather the data. This separation allows any client or server to be updated and developed independently of each other without any loss of function."
JSON and XML,,"JSON and XML are two alternative standard methods for formatting data objects that are transferred between servers and web applications. XML is a mark-up language that was designed to store and transport data. It is similar to HTML in that both contain mark-up symbols to describe file contents. XML data is known as self-describing meaning that the structure of the data is embedded with the data. 
 JSON is also a simple text-based way to store and transmit structured data. Using JSON it is possible to store anything from a single number through to strings arrays and objects using nothing but a string of plain text. JSON describes data using object/value pairs (similar to dictionaries)."
Thick and Thin Client,,A thin client network is a network where all processing takes place in a central server and the clients are dumb terminals with little or no processing power. A thick client network is a network where the applications are run in the client workstations. This means that the client workstations must have local processing power.
Attribute,,A property of a record.
Primary Key,,An attribute that uniquely identifies one record in a table.
Composite Primary key,,A combination of attributes that uniquely identifies one record. Used when no single attribute uniquely identifies one record.
Foreign key,,An attribute in a table which is the primary key in a different table. Used to link related records in the two tables.
Third normal form and why databases are normalised,,"A database is in third normal form if: there are no repeating groups of attributes there are no partial key dependencies and no non-key dependencies.
 Databases are normalised to minimise data duplication/to eliminate data redundancy to ensure data consistency and to avoid update anomalies"
Big Data,,"The term Big Data is used to define data that can't be processed or analysed using traditional methods. 
 There are three features of big data that cause this.
 1) Volume of data. The amount of data to be processed is too big to fit on a single server. Data analysis scenarios that process hundreds of terabytes or petabytes fall into Big Data category if that data must be analysed in a single set.
 2) Velocity of generation/processing. The data is generated very quickly and must be processed very quickly. If data is at rest it can be batch processed e.g. in billing systems but if data is in motion as in streaming systems it must be processed in real-time.
 3) Variety of data. The data is in many different forms such as structured semi-structured unstructured text and multimedia."
Function domain and co-domain,,A function is a rule that for each element some set A of inputs assigns an output chosen from a set B without necessarily using every member of B. The set from which the inputs are chosen is called the domain and the set from which the outputs are calculated is the co-domain.
First class object,,A first-class object (or value) is an object which may: appear in an expression be assigned to a variable be assigned as an argument to a function be returned by a function call.
Function application,,The process of giving particular inputs to a function is called function application. For example square 3 represents the application of the function square to the integer argument 3.
Partial functional application,,"Partial Function Application means that it is possible to call a function with fewer arguments than is needed and store its state as a variable for later use. 
 Example. sum(xy) = x + y. The function is applied to one of its arguments – e.g. sum(6y). The output of this function application is a new function sum(6y) = 6+y. 
 The new function will always add 6 to the one argument (y)."
Composition of functions,,"The operation functional composition combines two functions to get a new function.
 E.g. If the domain and co-domains of f and g are ℝ and f(x) = (x+2) and g(y)=y2 
 then g° f=(x+2)2.
 The function f is applied first and then the function g is applied to result returned by f."
Higher order functions,,A higher order function is one that either has a function as a parameter returns a function or both.
Map,,"The map function applies a given function to each element of a list returning a list of results.
 E.g. if treble x = 3*x and numbers=[2 3 8] then
 map treble numbers would produce [6 9 24]"
Filter,,"The filter function processes a data structure in order to produce a new data structure containing only those elements that match a given condition.
 E.g. filter (>2) numbers would produce [3 8]"
Reduce/Fold,,"The fold function reduces a list of values to a single value by repeatedly applying a combining function to the list values. In the folding process the combining function e.g. sum is applied to the list element by element returning something such as the total sum of all the elements. 
 E.g. fold (-) 4 numbers would produce -9 i.e. (((4-2)-3)-8)"
